capture,method,depth_used,camera_arm,board_reference_status,board_corners,formal_attempts,accepted_count,rejected_count,status_summary,reported_source,reported_delta_x_mm,reported_delta_y_mm,reported_delta_z_mm,reported_center_distance_mm,reported_yaw_delta_sym180_deg,formal_accepted_delta_x_mm,formal_accepted_delta_y_mm,formal_accepted_delta_z_mm,formal_accepted_center_distance_mm,formal_accepted_yaw_delta_sym180_deg,rejected_candidate_delta_x_mm,rejected_candidate_delta_y_mm,rejected_candidate_delta_z_mm,rejected_candidate_center_distance_mm,rejected_candidate_yaw_delta_sym180_deg,primary_time_s,time_p90_s,accepted_time_s,rejected_time_s,container_wall_median_s,rejection_reasons,fallback_triggered_count
L04_wrist_charuco_20260915_104358_532673829,R1,lingbot,left,available,71,5,0,5,rejected,rejected_candidate_diagnostic,4.354525121684771,-5.186289297661173,-15.075788476051288,16.526913925142207,0.1662179210301531,,,,,,4.354525121684771,-5.186289297661173,-15.075788476051288,16.526913925142207,0.1662179210301531,0.887633073998586,0.8966376580014185,,0.887633073998586,1.9211510950008233,"[""ambiguous_inner_outer_surface_hypotheses""]",0
L04_wrist_charuco_20260915_104358_532673829,RM,lingbot,left,available,71,5,0,5,rejected,rejected_candidate_diagnostic,3.5671231062082143,-4.816245186151726,-14.871848187297587,16.03410282660058,0.20283869389214715,,,,,,3.5671231062082143,-4.816245186151726,-14.871848187297587,16.03410282660058,0.20283869389214715,5.42247749300077,5.498526285401022,,5.42247749300077,6.434073996999359,"[""ambiguous_inner_outer_surface_hypotheses""]",0
L04_wrist_charuco_20260915_104358_532673829,R1F,lingbot,left,available,71,5,0,5,rejected,rejected_candidate_diagnostic,3.5671231062082143,-4.816245186151726,-14.871848187297587,16.03410282660058,0.20283869389214715,,,,,,3.5671231062082143,-4.816245186151726,-14.871848187297587,16.03410282660058,0.20283869389214715,22.866294176001247,23.07250832560094,,22.866294176001247,23.879858677999437,"[""ambiguous_inner_outer_surface_hypotheses""]",5
R01_wrist_charuco_20260915_093900_967150252,FDP,raw,left,unavailable,3,5,5,0,accepted,formal_accepted,,,,,,,,,,,,,,,,1.2648465480015147,1.273087332999421,1.2648465480015147,,,[],0
R01_wrist_charuco_20260915_093900_967150252,V5-original,lingbot,left,unavailable,3,5,0,5,rejected,unavailable,,,,,,,,,,,,,,,,11.386017635002645,11.454663037598948,,11.386017635002645,12.197901040999568,"[""ambiguous_inner_outer_surface_hypotheses""]",0
R01_wrist_charuco_20260915_093900_967150252,BCM,lingbot,left,unavailable,3,5,0,5,rejected,unavailable,,,,,,,,,,,,,,,,11.213621902999876,11.245603507600753,,11.213621902999876,12.248894311000186,"[""ambiguous_inner_outer_surface_hypotheses""]",0
R01_wrist_charuco_20260915_093900_967150252,R1,lingbot,left,unavailable,3,5,0,5,rejected,unavailable,,,,,,,,,,,,,,,,0.9663521239999682,0.9749257665993355,,0.9663521239999682,1.9714724900004512,"[""ambiguous_inner_outer_surface_hypotheses""]",0
R01_wrist_charuco_20260915_093900_967150252,RM,lingbot,left,unavailable,3,5,0,5,rejected,unavailable,,,,,,,,,,,,,,,,3.6474159120007243,3.688735320599517,,3.6474159120007243,4.678470456001378,"[""ambiguous_inner_outer_surface_hypotheses""]",0
R01_wrist_charuco_20260915_093900_967150252,R1F,lingbot,left,unavailable,3,5,0,5,rejected,unavailable,,,,,,,,,,,,,,,,12.071729752002284,12.138786009400064,,12.071729752002284,13.101024103998498,"[""ambiguous_inner_outer_surface_hypotheses""]",5
R01_wrist_charuco_20260915_094033_680788016,FDP,raw,right,available,9,5,5,0,accepted,formal_accepted,2.3142703567459177,5.33330003468499,2.860007384858698,6.479164975946367,1.5008324110586386,2.3142703567459177,5.33330003468499,2.860007384858698,6.479164975946367,1.5008324110586386,,,,,,1.373163960999591,5.818751944999895,1.373163960999591,,,[],0
R01_wrist_charuco_20260915_094033_680788016,V5-original,lingbot,right,available,9,5,5,0,accepted,formal_accepted,-6.447393714958616,-3.4389546770772874,0.7497182032654148,7.345568212942218,0.433194488171182,-6.447393714958616,-3.4389546770772874,0.7497182032654148,7.345568212942218,0.433194488171182,,,,,,14.860237570002937,14.950390618600796,14.860237570002937,,15.659432576001564,[],0
R01_wrist_charuco_20260915_094033_680788016,BCM,lingbot,right,available,9,5,5,0,accepted,formal_accepted,-6.447393714958616,-3.4389546770772874,0.7497182032654148,7.345568212942218,0.433194488171182,-6.447393714958616,-3.4389546770772874,0.7497182032654148,7.345568212942218,0.433194488171182,,,,,,14.736162572000467,14.788468955799908,14.736162572000467,,15.763634281996929,[],0
R01_wrist_charuco_20260915_094033_680788016,R1,lingbot,right,available,9,5,5,0,accepted,formal_accepted,-5.696488344045902,-1.3214104483816393,0.058457457213667574,5.848035764361131,0.5964797400353632,-5.696488344045902,-1.3214104483816393,0.058457457213667574,5.848035764361131,0.5964797400353632,,,,,,0.8467422139983682,0.8512232374014275,0.8467422139983682,,1.8712857450009324,[],0
R01_wrist_charuco_20260915_094033_680788016,RM,lingbot,right,available,9,5,5,0,accepted,formal_accepted,-6.447393714958616,-3.4389546770772874,0.7497182032654148,7.345568212942218,0.433194488171182,-6.447393714958616,-3.4389546770772874,0.7497182032654148,7.345568212942218,0.433194488171182,,,,,,4.848245436998695,4.886977603199921,4.848245436998695,,5.881451597997511,[],0
R01_wrist_charuco_20260915_094033_680788016,R1F,lingbot,right,available,9,5,5,0,accepted,formal_accepted,-5.696488344045902,-1.3214104483816393,0.058457457213667574,5.848035764361131,0.5964797400353632,-5.696488344045902,-1.3214104483816393,0.058457457213667574,5.848035764361131,0.5964797400353632,,,,,,0.8379787410012796,0.854296542400698,0.8379787410012796,,1.8722017529980803,[],0
R02_wrist_charuco_20260915_100308_809523978,FDP,raw,right,available,77,5,5,0,accepted,formal_accepted,0.6285555626894812,6.075337531521341,5.761991860668725,8.39674689506075,0.871661588596055,0.6285555626894812,6.075337531521341,5.761991860668725,8.39674689506075,0.871661588596055,,,,,,1.3770533489987429,1.3865263452004002,1.3770533489987429,,,[],0
R02_wrist_charuco_20260915_100308_809523978,V5-original,lingbot,right,available,77,5,5,0,accepted,formal_accepted,-5.512039729730467,1.048441695724293,-2.04421856325554,5.97165316355688,0.043659326009759525,-5.512039729730467,1.048441695724293,-2.04421856325554,5.97165316355688,0.043659326009759525,,,,,,19.025307882999186,19.064116286801436,19.025307882999186,,19.86803081099788,[],0
R02_wrist_charuco_20260915_100308_809523978,BCM,lingbot,right,available,77,5,5,0,accepted,formal_accepted,-5.512039729730467,1.048441695724293,-2.04421856325554,5.97165316355688,0.043659326009759525,-5.512039729730467,1.048441695724293,-2.04421856325554,5.97165316355688,0.043659326009759525,,,,,,18.851627337000536,18.949057497199828,18.851627337000536,,19.868127243000345,[],0
R02_wrist_charuco_20260915_100308_809523978,R1,lingbot,right,available,77,5,5,0,accepted,formal_accepted,-4.872773730169144,2.333131501055758,-1.856306322878809,5.712556309657267,0.3053248114104292,-4.872773730169144,2.333131501055758,-1.856306322878809,5.712556309657267,0.3053248114104292,,,,,,0.8837520669985679,0.8903807686008804,0.8837520669985679,,1.9211597860012262,[],0
R02_wrist_charuco_20260915_100308_809523978,RM,lingbot,right,available,77,5,5,0,accepted,formal_accepted,-5.512039729730467,1.048441695724293,-2.04421856325554,5.97165316355688,0.043659326009759525,-5.512039729730467,1.048441695724293,-2.04421856325554,5.97165316355688,0.043659326009759525,,,,,,5.57240140200156,5.594139578199974,5.57240140200156,,6.586558726001385,[],0
R02_wrist_charuco_20260915_100308_809523978,R1F,lingbot,right,available,77,5,5,0,accepted,formal_accepted,-4.872773730169144,2.333131501055758,-1.856306322878809,5.712556309657267,0.3053248114104292,-4.872773730169144,2.333131501055758,-1.856306322878809,5.712556309657267,0.3053248114104292,,,,,,0.894316374000482,0.8970882334011548,0.894316374000482,,1.9225850110015017,[],0
R03_wrist_charuco_20260915_103743_184821162,FDP,raw,right,available,100,5,5,0,accepted,formal_accepted,5.409227912335113,4.084375060192713,3.1023414571554886,7.454286602800777,1.321758026935271,5.409227912335113,4.084375060192713,3.1023414571554886,7.454286602800777,1.321758026935271,,,,,,1.371174402998804,16.15483883800007,1.371174402998804,,,[],0
R03_wrist_charuco_20260915_103743_184821162,V5-original,lingbot,right,available,100,5,0,5,rejected,rejected_candidate_diagnostic,-3.5665885001764375,7.04862341546092,-5.352230455290985,9.542013227255511,0.8001435922222981,,,,,,-3.5665885001764375,7.04862341546092,-5.352230455290985,9.542013227255511,0.8001435922222981,24.244225432998064,24.597699934201227,,24.244225432998064,25.032620730999042,"[""mask_touches_image_border"",""visible_shell_residual_or_coverage_too_low""]",0
R03_wrist_charuco_20260915_103743_184821162,BCM,lingbot,right,available,100,5,0,5,rejected,rejected_candidate_diagnostic,-3.5665885001764375,7.04862341546092,-5.352230455290985,9.542013227255511,0.8001435922222981,,,,,,-3.5665885001764375,7.04862341546092,-5.352230455290985,9.542013227255511,0.8001435922222981,24.368948690000252,24.45033516840049,,24.368948690000252,25.381371813997248,"[""mask_touches_image_border"",""visible_shell_residual_or_coverage_too_low""]",0
R03_wrist_charuco_20260915_103743_184821162,R1,lingbot,right,available,100,5,0,5,rejected,rejected_candidate_diagnostic,-1.9449943669217484,5.368600506447496,-1.918963928505879,6.023893844025836,0.4702642309617886,,,,,,-1.9449943669217484,5.368600506447496,-1.918963928505879,6.023893844025836,0.4702642309617886,1.1045561780010758,1.1243932506004057,,1.1045561780010758,2.1234492790026707,"[""ambiguous_inner_outer_surface_hypotheses"",""mask_touches_image_border""]",0
